,red_text,black_text,color,temp,service
121,,"Христос сшед к борьбе адове Един.
Многия взем победы корысти, взыде.
Во святую и великую Неделю Пасхи, самое живоносное Воскресение празднуем Господа Бога и Спаса нашего Иисуса Христа, еже убо и Пасху именуем: яже еврейскою беседою преведение толкуется. Той бо есть день, воньже Бог в начале мир от небытия приведе. В той день израильтеския люди, сквозе Чермное море провед, от фараоновых исхищает рук. В той паки с небесе сошед, во утробу Девы вселися: и ныне из адовых сокровищ человеческое естество все исхитив, на небеса возведе, и к древнему достоянию приведе нетления. Обаче сошед во ад, не всех воскреси, но елицы веровати Ему изволиша: душы же яже от века святых нуждею держимыя от ада свободи, и всем даде на небеса взыти. Сего ради радующеся преестественне со светлостию Воскресние празднуем, радость образующе, еюже естество наше милосердия ради милости Божия обогатися: такожде и вражды разрушение, и еже с Богом соединение и с самеми ангелы показующе, обычное содеваем целование. Господне же Воскресение бысть сице: воином стрегущым гроб, о полунощи трус бывает: сошед бо Ангел, камень отваляет от дверей гроба, стражие же ужасающеся бегают. И прихождение зде женам бывает в субботу позде, якоже от полсубботныя нощи. И первее убо Воскресние Божии Матери познаваемо бывает прямо седящей гроба с Магдалинею, якоже глаголет Матфей. Но да не сомнило бы ся Воскресние, за еже к Матери присвоения, евангелисти глаголют: первее является Магдалини Марии, она же и на камени Ангела виде: и приникши паки сущыя внутрь зрит, иже убо и Господне Воскресние возвещают: воста бо, глаголют, несть зде: се место, идеже положиша Его. Течет убо сия слышавши, и к теплейшым от ученик приходит, к Петру и Иоанну, и Воскресние сим благовествует. Возвращающися же ей с другою Мариею, срете я Христос, глаголя: радуйтеся. Подобаше бо первее слышавшему роду: в печалех родиши чада, тому прежде и радость внушити. Сия же любовию побеждаемыя приступают, и пречистыма ногама Его касаются, опаснейше разумети хотяще. Апостола же ко гробу притекоста, Иоанн убо приник точию во гроб, отиде. Петр же внутрь входит, и испытнейше зрит, плащанице же касается и судареви. Паки же Магдалина приходит ко гробу о утрени, со другими женами, виденная уверити хотящи опасне. У внешних же стоящи рыдаше, внутрь же гроба приникши, зрит два Ангела блистающася светлостию, и аки претяща ей, и глаголюща: жено, что плачеши? и кого ищеши? Иисуса ищете Назарянина распятаго: воста, несть зде. И абие восташа пристрашни, видевше Господа. Темже она обращшися вспять, видит Христа стояща, вертоградаря же его быти мнящи, [зане в вертограде гроб бысть,] глаголет: Господи, аще Ты еси взял Его, рцы ми, где еси положил Его? и аз возму Его. Паки же Спас ко Ангелом помаав, глаголет к Магдалини: Марие. Она же сладкий и обычный Христов ощутивши глас, прикоснутися Ему хотяше. Он же глаголет: не прикасайся Мне, не у бо взыдох ко Отцу Моему, якоже ты помышляеши, еще человека Мя быти непщующи: иди же к братии моей, и рцы им, елика же видела еси и слышала. И сие убо Магдалина делает. Свитающу же дню паки у гроба с прочими бывает. Сущии же со Иоанною и Саломиею, возсиявшу солнцу приидоша. И просто рещи, различно еже на гроб жен прихождение бысть, в нихже бе и Богородица: та бо есть, юже Иосиеву глаголет Марию Еванглие. Иосифов же бе сын сей Иосий. В неизвестном убо есть, в кий час воскресе Господь: нецыи убо в первое куроглашение глаголют: друзии же егда трус бысть, и различно друзии. Сим же тако бывшым, се нецыи от кустодии дошедше, возвестиша архиереем содеявшаяся. Они же сребрениками их умздивше, повинуют рещи: яко ученицы Его пришедше нощию, украдоша Его. В вечер настоящаго дне, учеником во едино собраным страха ради иудейскаго, и дверем твердо заключеным, входит к ним Иисус, яко в нетленнем телеси бе, и мир обычно сим благовествует. Они же Сего видевше, премного возрадовашася, и дуновением совершеннейшее Всесвятаго Духа действо приемлют. Како же тридневное Воскресние Господне? веждь сице: Вечер четвертка, и день пятка, тако бо нощеденство еврее исчитают, день един. Пятка паки нощь, и суббота вся, другое нощеденство, се день вторый. Паки субботная нощь, и недели день, от части бо начала все приемлется, третие нощеденство: се день третий. Или сице: В третий час пятка распят бысть Христос. Таже от шестаго часа до девятаго тма бысть, сие нощь ми разумей, се от третияго даже до девятаго едино нощеденство. Таже паки по тме, день и нощь пятка, се два нощеденства. День субботы, и нощь ея паки, се три нощеденства, по евангелисту глаголющему: свитающу во едину от суббот. Аще ли в третий обещав облагодетельствова нас Спас, скорейше содела благодейство, и тако благодать, и слава Ему во веки веков. Аминь.
",black,,
122,,"Воскресение Христово видевше, поклонимся Святому Господу Иисусу, единому безгрешному, Кресту Твоему покланяемся, Христе, и святое Воскресение Твое поем и славим: Ты бо еси Бог наш, разве Тебе иного не знаем, имя Твое именуем. Приидите вси вернии, поклонимся Святому Христову Воскресению: се бо прииде Крестом радость всему миру. Всегда благословяще Господа, поем Воскресение Его: распятие бо претерпев, смертию смерть разруши. 
",red,,
123,Трижды,,red,,
124,,"Воскрес Иисус от гроба, якоже прорече, даде нам живот вечный и велию милость. 
",red,,
125,Трижды,,red,,
126,"Песнь 7:
",,red,,
127,"Ирмос:
",,red,,
128,,"Отроки от пещи избавивый, быв Человек, страждет яко смертен, и страстию смертное, в нетления облачит благолепие, Един благословен отцев Бог, и препрославлен. 
",red,,
129,Четырежды,,red,,
130,,"Жены с миры богомудрыя в след Тебе течаху: Егоже, яко мертва, со слезами искаху, поклонишася радующияся Живому Богу, и Пасху тайную Твоим, Христе, учеником благовестиша. 
",red,,
131,4 раза,,red,,
132,,"Смерти празднуем умерщвление, адово разрушение, иного жития вечнаго начало, и играюще поем Виновнаго, Единаго благословеннаго отцев Бога, и препрославленнаго. 
",red,,
133,4 раза,,red,,
134,"Ектениа, и возглас.
",,red,,
135,,"Яко воистинну священная, и всепразднственная сия спасительная нощь, и светозарная, светоноснаго дне, востания сущи провозвестница: в нейже безлетный Свет из гроба плотски всем возсия. ''(4 раза)''
",black,,
136,"Песнь 8:
",,red,,
137,,"Буди держава Царствия Твоего благословенна и препрославленна, Отца, и Сына, и Святаго Духа, ныне и присно, и во веки веков.
",black,,
138,"Ирмос:
",,red,,
139,,"Сей нареченный и святый день, един суббот царь и господь, праздников праздник и торжество есть торжеств, воньже благословим Христа во веки. 
",red,,
140,Четырежды,,red,,
141,,"Приидите, новаго винограда рождения, Божественнаго веселия, в нарочитом дни Воскресения, Царствия Христова приобщимся, поюще Его яко Бога во веки. 
",red,,
142,4 раза,,red,,
143,,"Возведи окрест очи твои, Сионе, и виждь: се бо приидоша к тебе, яко богосветлая светила, от запада, и севера, и моря, и востока чада твоя, в тебе благословящая Христа во веки. 
",red,,
144,4 раза,,red,,
145,"Троичен:
",,red,,
146,,"Отче Вседержителю, и Слове, и Душе, треми соединяемое во Ипостасех Естество, Пресущественне и Пребожественне, в Тя крестихомся, и Тя благословим во вся веки. 
",red,,
147,4 раза,,red,,
148,"Таже, ектениа, и возглас:
",,red,,
149,"Припевы на 9-й песни:
",,red,,
150,,"Яко благословися имя Твое, и прославися Царство Твое, Отца, и Сына, и Святаго Духа, ныне и присно, и во веки веков.
",black,,
151,"Ирмос:
",,red,,
152,,"Величит душа моя воскресшаго тридневно от гроба Христа Жизнодавца.
",black,,
153,"И вторый лик поет тойже припев, и ирмос.
",,red,,
154,,"Светися, светися, новый Иерусалиме: слава бо Господня на тебе возсия. Ликуй ныне и веселися, Сионе. Ты же, Чистая, красуйся, Богородице, о востании Рождества Твоего.
",black,,
155,"Таже, первый лик поет вторый припев:
",,red,,
156,"Ирмос:
",,red,,
157,,"Величит душа моя воскресшаго тридневно от гроба Христа Жизнодавца.
",black,,
158,"И вторый лик поет тойже припев и ирмос.
",,red,,
159,,"Светися:
",black,,
160,"Таже, первый лик поет третий припев:
",,red,,
161,"И стих.
",,red,,
162,,"Христос новая Пасха, жертва живая, агнец Божий вземляй грехи мира.
",black,,
163,"И вторый лик поет тойже припев, и стих.
",,red,,
164,"Таже, первый лик поет четвертый припев:
",,red,,
165,"И стих:
",,red,,
166,,"Ангел вопияше Благодатней: Чистая Дево, радуйся! И паки реку: радуйся! Твой Сын воскресе тридневен от гроба, и мертвыя воздвигнувый: людие, веселитеся.
",black,,
167,"И вторый лик поет тойже припев, и стих.
",,red,,
168,"И прочих осмь припевов припевают по единожды ко стихом:
",,red,,
169,"Припев:
",,red,,
170,,"Возбудил еси уснув мертвыя от века, царски рыкавый яко от Иуды лев.
",black,,
171,"Последи же первый лик поет паки первый припев и ирмос.
",,red,,
172,,"Магдалина Мария притече ко гробу, и Христа видевши, яко вертоградаря вопрошаше.
Ангел облистаяй женам вопияше: престаните от слез, яко Христос воскресе.
Христос воскресе, смерть поправый, и мертвыя воздвигнувый, людие веселитеся.
Днесь всяка тварь веселится и радуется: яко Христос воскресе, и ад пленися.
Днесь Владыка плени ада, воздвигнувый юзники, яже от века имяше люте одержимыя.
Величит душа моя Триипостаснаго и Нераздельнаго Божества державу.
Радуйся, Дево, радуйся, радуйся, Благословенная, радуйся, Препрославленная! Твой бо Сын воскресе тридневен от гроба.
",black,,
173,"Таже оба лика, сошедшеся вкупе, поют ирмос, и тропарь:
",,red,,
174,"трижды.
",,red,,
175,,"Христос воскресе:
",black,,
176,"Песнь 9.
",,red,,
177,"Ирмос:
",,red,,
178,"Ектениа, и возглас:
",,red,,
179,,"Светися, светися, новый Иерусалиме: слава бо Господня на тебе возсия. Ликуй ныне и веселися, Сионе. Ты же, Чистая, красуйся, Богородице, о востании Рождества Твоего.
О Божественнаго, о любезнаго, о сладчайшаго Твоего гласа! с нами бо неложно обещался еси быти, до скончания века Христе: Егоже вернии, утверждение надежди имуще, радуемся.
О Пасха велия и священнейшая, Христе! о мудросте, и Слове Божий, и сило! Подавай нам истее Тебе причащатися, в невечернем дни Царствия Твоего.
",black,,
180,"Ексапостиларий. Самогласен:
",,red,,
181,,"Яко Тя хвалят вся Силы Небесныя, Отца, и Сына, и Святаго Духа, и Тебе славу возсылают, ныне и присно, и во веки веков.
",black,,
182,,"Плотию уснув, яко мертв, Царю и Господи, тридневен воскресл еси, Адама воздвиг от тли, и упразднив смерть: Пасха нетления, мира спасение. 
",red,,
183,Трижды,,red,,
184,"Хвалитны псалмы, глас 1:
",,red,,
185,"на глас 1. Поставим стихи 4 и поем стихиры воскресны, глас 1.
",,red,,
186,,"Всякое дыхание:
",black,,
187,"Стих:
",,red,,
188,"Стих:
",,red,,
189,,"Хвалите Его на силах Его, хвалите Его по множеству величествия Его.
Поем Твою, Христе, спасительную страсть, и славим Твое Воскресение.
Хвалите Его во гласе трубнем, хвалите Его во псалтири и гуслех.
Крест претерпевый, и смерть упразднивый, и воскресый из мертвых, умири нашу жизнь, Господи, яко Един Всесилен.
Хвалите Его в тимпане и лице, хвалите Его во струнах и органе.
Ада пленивый и человека воскресивый, Воскресением Твоим, Христе, сподоби ны чистым сердцем, Тебе пети и славити.
",black,,
190,"Таже совокупльшеся оба лика, поют стихиры Пасхи, глас 5.
",,red,,
191,,"Хвалите Его в кимвалех доброгласных, хвалите Его в кимвалех восклицания, всякое дыхание да хвалит Господа.
Боголепное Твое снизхождение славяще, поем Тя, Христе: родился еси от Девы, и неразлучен был еси от Отца: пострадал еси яко человек, и волею претерпел еси Крест, воскресл еси от гроба яко от чертога произшед, да спасеши мир, Господи, слава Тебе.
",black,,
192,"Стих:
",,red,,
193,"Стих:
",,red,,
194,,"Да воскреснет Бог, и расточатся врази Его.
Пасха священная нам днесь показася, Пасха нова святая, Пасха таинственная, Пасха всечестная. Пасха Христос Избавитель, Пасха непорочная, Пасха великая, Пасха верных. Пасха двери райския нам отверзающая. Пасха всех освящающая верных.
",black,,
195,"Стих:
",,red,,
196,,"Яко исчезает дым, да исчезнут.
Приидите от видения жены благовестницы, и Сиону рцыте: приими от нас радости благовещения, Воскресения Христова: красуйся, ликуй и радуйся, Иерусалиме, Царя Христа узрев из гроба, яко жениха происходяща.
",black,,
197,"Стих:
",,red,,
198,,"Тако да погибнут грешницы от Лица Божия, а праведницы да возвеселятся.
Мироносицы жены, утру глубоку, представша гробу Живодавца, обретоша Ангела на камени седяща, и той провещав им, сице глаголаше: что ищете Живаго с мертвыми? что плачете Нетленнаго во тли? Шедше, проповедите учеником Его.
",black,,
199,"Слава и ныне: глас 5:
",,red,,
200,,"Сей день, егоже сотвори Господь, возрадуемся и возвеселимся в онь.
Пасха красная, Пасха, Господня Пасха! Пасха всечестная нам возсия. Пасха, радостию друг друга обымем. О Пасха! Избавление скорби, ибо из гроба днесь, яко от чертога возсияв Христос, жены радости исполни, глаголя: проповедите апостолом.
",black,,
201,,"Таже, Христос воскресе
",red,,
202,": трижды. И поем сие многажды, дондеже целуют братия друг друга.",,red,,
203,"Целование же настоятеля с прочими иереи и диаконы во святом олтари бывает сице: Глаголет приходяй: Христос воскресе: Оному же отвещавшу:
",,red,,
204,,"Воскресения день, и просветимся торжеством, и друг друга обымем. Рцем братие, и ненавидящим нас, простим вся Воскресением, и тако возопиим: Христос воскресе из мертвых, смертию смерть поправ, и сущим во гробех живот даровав.
",black,,
205,"Посем взем настоятель честный крест и станет вне пред святыми царскими дверьми. Такожде и вси священницы, елико их есть, и диакони, вземше кийждо их, святое еванглие, и честныя иконы, по чину своему: и станут вси рядом, от десныя страны настоятеля. И приходят прежде честнейшии церковницы, старцы, един по единому: и мало преклоняются пред настоятелем: и целуют кийждо их честный крест, и святое еванглие, егоже держит иерей, и прочыя образы. Таже и самаго настоятеля во уста целуют, глаголюще: Христос воскресе.
",,red,,
206,,"Воистинну воскресе.
",black,,
207,"Оному же отвещавшу:
",,red,,
208,"Слово огласительное Иоанна Златоустого:
",,red,,
209,,"Воистинну воскресе. По томуже образу и иереев целуют, и сами между собою по чину своему. И ставятся от иереев по десной стране рядом. Таже по них и миряне такожде целование творят. Работницы же монастырстии в томже чину да станут, и друг друга целующе. Бывает же посреди во всех велие молчание. По целовании же чтется огласительное слово златоустаго от настоятеля, или екклисиарха: не седим же на сицевом чтении, но стояще слушаем вси.
",black,,
210,"Тропарь Иоанна Златоустого, глас 8:
",,red,,
211,,"Иже во святых отца нашего Иоанна, Архиепископа Константинопольскаго, Златоустаго, слово Огласительное во святый и светоносный день преславнаго и спасительнаго Христа Бога нашего Воскресения.
Аще кто благочестив и боголюбив, да насладится сего добраго и светлаго торжества. Аще кто раб благоразумный, да внидет радуяся в радость Господа своего. Аще кто потрудися постяся, да восприимет ныне динарий. Аще кто от перваго часа делал есть, да приимет днесь праведный долг. Аще кто по третием часе прииде, благодаря да празднует. Аще кто по шестом часе достиже, ничтоже да сумнится, ибо ничимже отщетевается. Аще кто лишися и девятаго часа, да приступит, ничтоже сумняся, ничтоже бояся. Аще кто точию достиже, и во единонадесятый час, да не устрашится замедления: любочестив бо Сый Владыка, приемлет последняго якоже и перваго: упокоевает в единонадесятый час пришедшаго, якоже делавшаго от перваго часа. И последняго милует, и первому угождает, и оному дает, и сему дарствует, и дела приемлет, и намерение целует, и деяние почитает, и предложение хвалит. Темже убо внидите вси в радость Господа своего: и первии и втории, мзду приимите. Богатии и убозии, друг со другом ликуйте. Воздержницы и ленивии, день почтите. Постившиися и непостившиися, возвеселитеся днесь. Трапеза исполнена, насладитеся вси. Телец упитанный, никтоже да изыдет алчай, вси насладитеся пира веры: вси восприимите богатство благости. Никтоже да рыдает убожества, явися бо общее Царство. Никтоже да плачет прегрешений, прощение бо от гроба возсия. Никтоже да убоится смерти, свободи бо нас Спасова смерть. Угаси ю, Иже от нея держимый. Плени ада, Сошедый во ад. Огорчи его вкусивша плоти Его. И сие предприемый Исаиа возопи: ад, глаголет, огорчися, срет Тя доле. Огорчися, ибо упразднися. Огорчися, ибо поруган бысть. Огорчися, ибо умертвися. Огорчися, ибо низложися. Огорчися, ибо связася. Прият тело, и Богу приразися. Прият землю, и срете Небо. Прият еже видяше, и впаде во еже не видяше. Где твое, смерте, жало? где твоя, аде, победа? Воскресе Христос, и ты низверглся еси. Воскресе Христос, и падоша демони. Воскресе Христос, и радуются Ангели. Воскресе Христос, и жизнь жительствует. Воскресе Христос, и мертвый ни един во гробе. Христос бо востав от мертвых, Начаток усопших бысть. Тому слава и держава, во веки веков. Аминь.
",black,,
