,red_text,black_text,color,index
51,"<Песнь 1:>
",,red,
52,,"Пасхальный канон поется полностью хором: и ирмосы, и припевы, и тропари, и катавасии.
На каждой песни канона совершается каждение.
При соборном служении каждение совершают все иереи поочередно (а при большом числе иереев – попарно).
",black,0.0
53,"<Ирмос:>
",,red,
54,,"Воскресе́ния день, просвети́мся, лю́дие. Па́сха, Госпо́дня Па́сха: от сме́рти бо к жи́зни, и от земли́ к небеси́, Христо́с Бог нас преведе́, побе́дную пою́щия. 
",red,
55,Четырежды,,red,
56,"<Припев:>
",,red,
57,,"Очи́стим чу́вствия, и у́зрим непристу́пным све́том Воскресе́ния, Христа́ блиста́ющася, и ра́дуйтеся, реку́ща, я́сно да услы́шим, побе́дную пою́ще. 
",red,
58,6 раз,,red,
59,,"Небеса́ у́бо досто́йно да веселя́тся, земля́ же да ра́дуется, да пра́зднует же мир, ви́димый же весь и неви́димый: Христо́с бо воста́, весе́лие ве́чное. 
",red,
60,6 раз,,red,
61,"<Та́же, ектениа́. И возгла́с:>
",,red,
62,,"Христо́с воскре́се из ме́ртвых.
",black,0.0
63,"<Песнь 3:>
",,red,
64,,"Я́ко Твоя́ держа́ва, и Твое́ есть Ца́рство, и си́ла, и сла́ва Отца́, и Сы́на, и Свята́го Ду́ха, ны́не и при́сно, и во ве́ки веко́в.
",black,0.0
65,"<Ирмос:>
",,red,
66,,"Прииди́те, пи́во пие́м но́вое, не от ка́мене непло́дна чудоде́емое, но нетле́ния исто́чник из гро́ба одожди́вша Христа́, в Не́мже утвержда́емся. 
",red,
67,Четырежды,,red,
68,,"Ны́не вся испо́лнишася све́та, не́бо же и земля́, и преиспо́дняя: да пра́зднует у́бо вся тварь воста́ние Христо́во, в не́мже утвержда́ется. 
",red,
69,6 раз,,red,
70,,"Вчера́ спогребо́хся Тебе́ Христе́, совостаю́ днесь воскре́сшу Тебе́, сраспина́хся Тебе́ вчера́, Сам мя спросла́ви Спа́се во Ца́рствии Твое́м. 
",red,
71,6 раз,,red,
72,"<Та́же, ектениа́. И возгла́с:>
",,red,
73,"<Ипакои́, глас 4:>
",,red,
74,,"Я́ко ты́ еси́ Бо́г на́ш, и Тебе́ сла́ву возсыла́ем, Отцу́, и Сы́ну, и Свято́му Ду́ху ны́не и при́сно, и во ве́ки веко́в.
",black,0.0
75,"<Хор:>
",,red,
76,"<И чте́ние в Григо́рии Богосло́ве, его́же нача́ло:>
",,red,
77,,"Предвари́вшия у́тро я́же о Мари́и, и обре́тшия ка́мень отвале́н от гро́ба, слы́шаху от А́нгела: во све́те присносу́щнем Су́щаго, с ме́ртвыми что и́щете, я́ко челове́ка? Ви́дите гро́бныя пелены́, тецы́те и ми́ру пропове́дите, я́ко воста́ Госпо́дь, умертви́вый смерть, я́ко есть Сын Бо́га, спаса́ющаго род челове́ческий.
",black,0.0
78,"<По чте́нии же па́ки вжига́ют свещы́ бра́тия.>
",,red,
79,,"На стра́жи мое́й ста́ну:
",black,0.0
80,"<Песнь 4:>
",,red,
81,"<Ирмос:>
",,red,
82,,"На Боже́ственней стра́жи богоглаго́ливый Авваку́м да ста́нет с на́ми, и пока́жет светоно́сна А́нгела, я́сно глаго́люща: днесь спасе́ние ми́ру, я́ко воскре́се Христо́с, я́ко всеси́лен. 
",red,
83,Четырежды,,red,
84,,"Му́жеский у́бо пол, я́ко разве́рзый де́вственную утро́бу, яви́ся Христо́с: я́ко челове́к же, А́гнец нарече́ся: непоро́чен же, я́ко невку́сен скве́рны, на́ша Па́сха, и я́ко Бог и́стинен соверше́н рече́ся. 
",red,
85,4 раза,,red,
86,,"Я́ко единоле́тный а́гнец, благослове́нный нам вене́ц Христо́с, во́лею за всех закла́н бысть, Па́сха чисти́тельная, и па́ки из гро́ба кра́сное пра́вды нам возсия́ Со́лнце. 
",red,
87,4 раза,,red,
88,,"Богооте́ц у́бо Дави́д пред се́нным ковче́гом скака́ше игра́я, лю́дие же Бо́жии святи́и, образо́в сбытие́ зря́ще, весели́мся Боже́ственне, я́ко воскре́се Христо́с, я́ко Всеси́лен. 
",red,
89,4 раза,,red,
90,"<Ектениа́, и возгла́с:>
",,red,
91,"<Песнь 5:>
",,red,
92,,"Я́ко бла́г и человеколю́бец Бо́г еси́, и тебе́ сла́ву возсыла́ем, Отцу́, и Сы́ну, и Свято́му Ду́ху, ны́не и при́сно, и во ве́ки веко́в.
",black,0.0
93,"<Ирмос:>
",,red,
94,,"У́тренюем у́треннюю глубоку́, и вме́сто ми́ра песнь принесе́м Влады́це, и Христа́ у́зрим пра́вды Со́лнце, всем жизнь возсия́юща.  
",red,
95,Четырежды,,red,
96,,"Безме́рное Твое́ благоутро́бие, а́довыми у́зами содержи́мии зря́ще, к све́ту идя́ху Христе́, весе́лыми нога́ми, Па́сху хва́ляще ве́чную. 
",red,
97,6 раз,,red,
98,,"Присту́пим свещено́снии, исходя́щу Христу́ из гро́ба, я́ко жениху́, и спра́зднуем любопра́зднственными чи́нми Па́сху Бо́жию спаси́тельную. 
",red,
99,6 раза,,red,
100,"<Ектениа́, и возгла́с:>
",,red,
101,"<Хор:>
",,red,
102,,"Я́ко святи́ся и просла́вися пречестно́е и великоле́пое и́мя Твое́, Отца́, и Сы́на, и Свята́го Ду́ха, ны́не и при́сно, и во ве́ки веко́в.
",black,0.0
103,"<Песнь 6:>
",,red,
104,,"Ами́нь.
",black,0.0
105,"<Ирмос:>
",,red,
106,,"Снизше́л еси́ в преиспо́дняя земли́, и сокруши́л еси́ вереи́ ве́чныя, содержа́щия свя́занныя, Христе́, и тридне́вен, я́ко от ки́та Ио́на, воскре́сл еси́ от гро́ба. 
",red,
107,Четырежды,,red,
108,,"Сохрани́в це́ла зна́мения Христе́, воскре́сл еси́ от гро́ба, ключи́ Де́вы не вреди́вый в рождестве́ Твое́м, и отве́рзл еси́ нам ра́йския две́ри. 
",red,
109,6 раз,,red,
110,,"Спа́се мой, живо́е же и неже́ртвенное заколе́ние, я́ко Бог Сам Себе́ во́лею приве́д Отцу́, совоскреси́л еси́ всеро́днаго Ада́ма, воскре́с от гро́ба. 
",red,
111,6 раз,,red,
112,"<Ектениа́, и возгла́с:>
",,red,
113,"<Таже конда́к, глас 8:>
",,red,
114,,"Ты бо еси́ Царь ми́ра, и Спас душ на́ших, и Тебе́ сла́ву возсыла́ем, Отцу́, и Сы́ну, и Свято́му Ду́ху, ны́не и при́сно, и во ве́ки веко́в.
",black,0.0
115,"<И́кос:>
",,red,
116,,"А́ще и во гроб снизше́л еси́, Безсме́ртне, но а́дову разруши́л еси́ си́лу, и воскре́сл еси́, я́ко победитель, Христе́ Бо́же, жена́м мироно́сицам веща́вый: ра́дуйтеся, и Твои́м апо́столом мир да́руяй, па́дшим подая́й воскресе́ние.
",black,0.0
117,"<Синакса́рь, во святу́ю и вели́кую Неде́лю Па́схи.>
",,red,
118,,"Е́же пре́жде со́лнца Со́лнце заше́дшее иногда́ во гроб, предвари́ша ко у́тру, и́щущия я́ко дне мироно́сицы де́вы, и друга́ ко друзе́й вопия́ху: о други́ни! Прииди́те, воня́ми пома́жем те́ло живоно́сное и погребе́ное, плоть воскреси́вшаго па́дшаго Ада́ма, лежа́щую во гро́бе. И́дем, потщи́мся я́коже волсви́, и поклони́мся, и принесе́м ми́ра я́ко да́ры, не в пелена́х, но в плащани́це обви́тому, и пла́чим, и возопии́м: о Влады́ко, воста́ни, па́дшим подая́й воскресе́ние.
",black,0.0
119,"<Стихи́:>
",,red,
120,"<Та́же глаго́лем:>
",,red,
121,,"Христо́с сше́д к борьбе́ а́дове Еди́н.
Мно́гия взе́м побе́ды коры́сти, взы́де.
Во святу́ю и вели́кую Неде́лю Па́схи, са́мое живоно́сное Воскресе́ние пра́зднуем Го́спода Бо́га и Спа́са на́шего Иису́са Христа́, е́же у́бо и Па́сху имену́ем: я́же евре́йскою бесе́дою преведе́ние толку́ется. То́й бо е́сть де́нь, во́ньже Бо́г в нача́ле ми́р от небытия́ приведе́. В то́й де́нь изра́ильтеския лю́ди, сквозе́ Чермно́е мо́ре прове́д, от фарао́новых исхища́ет ру́к. В то́й па́ки с небесе́ соше́д, во утро́бу Де́вы всели́ся: и ны́не из а́довых сокро́вищ челове́ческое естество́ все́ исхити́в, на небеса́ возведе́, и к дре́внему достоя́нию приведе́ нетле́ния. Оба́че соше́д во а́д, не все́х воскреси́, но ели́цы ве́ровати Ему́ изво́лиша: ду́шы же я́же от ве́ка святы́х ну́ждею держи́мыя от а́да свободи́, и все́м даде́ на небеса́ взы́ти. Сего́ ра́ди ра́дующеся преесте́ственне со све́тлостию Воскре́сние пра́зднуем, ра́дость образу́юще, е́юже естество́ на́ше милосе́рдия ра́ди ми́лости Бо́жия обогати́ся: та́кожде и вражды́ разруше́ние, и е́же с Бо́гом соедине́ние и с саме́ми а́нгелы показу́юще, обы́чное содева́ем целова́ние. Госпо́дне же Воскресе́ние бы́сть си́це: во́ином стрегу́щым гро́б, о полу́нощи тру́с быва́ет: соше́д бо А́нгел, ка́мень отваля́ет от две́рей гро́ба, стра́жие же ужаса́ющеся бе́гают. И прихожде́ние зде́ жена́м быва́ет в суббо́ту по́зде, я́коже от полсуббо́тныя но́щи. И пе́рвее у́бо Воскре́сние Бо́жии Ма́тери познава́емо быва́ет пря́мо седя́щей гро́ба с Магдали́нею, я́коже глаго́лет Матфе́й. Но да не сомни́ло бы ся Воскре́сние, за е́же к Ма́тери присвое́ния, евангели́сти глаго́лют: пе́рвее явля́ется Магдали́ни Мари́и, она́ же и на ка́мени А́нгела ви́де: и прини́кши па́ки су́щыя вну́трь зри́т, и́же у́бо и Госпо́дне Воскре́сние возвеща́ют: воста́ бо, глаго́лют, не́сть зде́: се́ ме́сто, иде́же положи́ша Его́. Тече́т у́бо сия́ слы́шавши, и к тепле́йшым от учени́к прихо́дит, к Петру́ и Иоа́нну, и Воскре́сние си́м благовеству́ет. Возвраща́ющися же е́й с друго́ю Мари́ею, сре́те я́ Христо́с, глаго́ля: ра́дуйтеся. Подоба́ше бо пе́рвее слы́шавшему ро́ду: в печа́лех роди́ши ча́да, тому́ пре́жде и ра́дость внуши́ти. Сия́ же любо́вию побежда́емыя приступа́ют, и пречи́стыма нога́ма Его́ каса́ются, опа́снейше разуме́ти хотя́ще. Апо́стола же ко гро́бу притеко́ста, Иоа́нн у́бо прини́к то́чию во гро́б, оти́де. Пе́тр же вну́трь вхо́дит, и испы́тнейше зри́т, плащани́це же каса́ется и сударе́ви. Па́ки же Магдали́на прихо́дит ко гро́бу о у́трени, со други́ми жена́ми, ви́денная уве́рити хотя́щи опа́сне. У вне́шних же стоя́щи рыда́ше, вну́трь же гро́ба прини́кши, зри́т два́ А́нгела блиста́ющася све́тлостию, и а́ки претя́ща е́й, и глаго́люща: же́но, что́ пла́чеши? и кого́ и́щеши? Иису́са и́щете Назаряни́на распя́таго: воста́, не́сть зде́. И а́бие воста́ша пристра́шни, ви́девше Го́спода. Те́мже она́ обра́щшися вспя́ть, ви́дит Христа́ стоя́ща, вертогра́даря же его́ бы́ти мня́щи, [зане́ в вертогра́де гро́б бы́сть,] глаго́лет: Го́споди, а́ще Ты́ еси́ взя́л Его́, рцы́ ми, где́ еси́ положи́л Его́? и а́з возму́ Его́. Па́ки же Спа́с ко А́нгелом помаа́в, глаго́лет к Магдали́ни: Мари́е. Она́ же сла́дкий и обы́чный Христо́в ощути́вши гла́с, прикосну́тися Ему́ хотя́ше. О́н же глаго́лет: не прикаса́йся Мне́, не у бо взыдо́х ко Отцу́ Моему́, я́коже ты́ помышля́еши, еще́ челове́ка Мя́ бы́ти непщу́ющи: иди́ же к бра́тии мое́й, и рцы́ и́м, ели́ка же ви́дела еси́ и слы́шала. И сие́ у́бо Магдали́на де́лает. Свита́ющу же дню́ па́ки у гро́ба с про́чими быва́ет. Су́щии же со Иоа́нною и Саломи́ею, возсия́вшу со́лнцу приидо́ша. И про́сто рещи́, разли́чно е́же на гро́б же́н прихожде́ние бы́сть, в ни́хже бе́ и Богоро́дица: та́ бо е́сть, ю́же Иоси́еву глаго́лет Мари́ю Ева́нглие. Ио́сифов же бе́ сы́н се́й Иоси́й. В неизве́стном у́бо е́сть, в ки́й ча́с воскре́се Госпо́дь: не́цыи у́бо в пе́рвое куроглаше́ние глаго́лют: друзи́и же егда́ тру́с бы́сть, и разли́чно друзи́и. Си́м же та́ко бы́вшым, се́ не́цыи от кустоди́и доше́дше, возвести́ша архиере́ем соде́явшаяся. Они́ же сре́брениками и́х умзди́вше, повину́ют рещи́: я́ко ученицы́ Его́ прише́дше но́щию, украдо́ша Его́. В ве́чер настоя́щаго дне́, ученико́м во еди́но собра́ным стра́ха ра́ди иуде́йскаго, и две́рем тве́рдо заключе́ным, вхо́дит к ни́м Иису́с, я́ко в нетле́ннем телеси́ бе́, и ми́р обы́чно си́м благовеству́ет. Они́ же Сего́ ви́девше, премно́го возра́довашася, и дунове́нием соверше́ннейшее Всесвята́го Ду́ха де́йство прие́млют. Ка́ко же тридне́вное Воскре́сние Госпо́дне? ве́ждь си́це: Ве́чер четвертка́, и де́нь пятка́, та́ко бо нощеде́нство евре́е исчита́ют, де́нь еди́н. Пятка́ па́ки но́щь, и суббо́та вся́, друго́е нощеде́нство, се́ де́нь вторы́й. Па́ки суббо́тная но́щь, и неде́ли де́нь, от ча́сти бо нача́ла все́ прие́млется, тре́тие нощеде́нство: се́ де́нь тре́тий. Или́ си́це: В тре́тий ча́с пятка́ ра́спят бы́сть Христо́с. Та́же от шеста́го часа́ до девя́таго тма́ бы́сть, сие́ но́щь ми́ разуме́й, се́ от тре́тияго да́же до девя́таго еди́но нощеде́нство. Та́же па́ки по тме́, де́нь и но́щь пятка́, се́ два́ нощеде́нства. Де́нь суббо́ты, и но́щь ея́ па́ки, се́ три́ нощеде́нства, по евангели́сту глаго́лющему: свита́ющу во еди́ну от суббо́т. А́ще ли в тре́тий обеща́в облагоде́тельствова на́с Спа́с, скоре́йше соде́ла благоде́йство, и та́ко благода́ть, и сла́ва Ему́ во ве́ки веко́в. Ами́нь.
",black,0.0
122,,"Воскресе́ние Христо́во ви́девше, поклони́мся Свято́му Го́споду Иису́су, еди́ному безгре́шному, Кресту́ Твоему́ покланя́емся, Христе́, и свято́е Воскресе́ние Твое́ пое́м и сла́вим: Ты бо еси́ Бог наш, ра́зве Тебе́ ино́го не зна́ем, и́мя Твое́ имену́ем. Прииди́те вси ве́рнии, поклони́мся Свято́му Христо́ву Воскресе́нию: се бо прии́де Кресто́м ра́дость всему́ ми́ру. Всегда́ благословя́ще Го́спода, пое́м Воскресе́ние Его́: распя́тие бо претерпе́в, сме́ртию смерть разруши́. 
",red,
123,Трижды,,red,
124,,"Воскре́с Иису́с от гро́ба, я́коже прорече́, даде́ нам живо́т ве́чный и ве́лию ми́лость. 
",red,
125,Трижды,,red,
126,"<Песнь 7:>
",,red,
127,"<Ирмос:>
",,red,
128,,"О́троки от пе́щи изба́вивый, быв Челове́к, стра́ждет я́ко сме́ртен, и стра́стию сме́ртное, в нетле́ния облачи́т благоле́пие, Еди́н благослове́н отце́в Бог, и препросла́влен. 
",red,
129,Четырежды,,red,
130,,"Жены́ с ми́ры богому́дрыя в след Тебе́ теча́ху: Его́же, я́ко ме́ртва, со слеза́ми иска́ху, поклони́шася ра́дующияся Живо́му Бо́гу, и Па́сху та́йную Твои́м, Христе́, ученико́м благовести́ша. 
",red,
131,4 раза,,red,
132,,"Сме́рти пра́зднуем умерщвле́ние, а́дово разруше́ние, ино́го жития́ ве́чнаго нача́ло, и игра́юще пое́м Вино́внаго, Еди́наго благослове́ннаго отце́в Бо́га, и препросла́вленнаго. 
",red,
133,4 раза,,red,
134,"<Ектениа́, и возгла́с.>
",,red,
135,,"Я́ко вои́стинну свяще́нная, и всепра́зднственная сия́ спаси́тельная нощь, и светоза́рная, светоно́снаго дне, воста́ния су́щи провозве́стница: в не́йже безле́тный Свет из гро́ба пло́тски всем возсия́. ''(4 раза)''
",black,0.0
136,"<Песнь 8:>
",,red,
137,,"Бу́ди держа́ва Ца́рствия Твоего́ благослове́нна и препросла́вленна, Отца́, и Сы́на, и Свята́го Ду́ха, ны́не и при́сно, и во ве́ки веко́в.
",black,0.0
138,"<Ирмос:>
",,red,
139,,"Сей нарече́нный и святы́й день, еди́н суббо́т царь и госпо́дь, пра́здников пра́здник и торжество́ есть торже́ств, во́ньже благослови́м Христа́ во ве́ки. 
",red,
140,Четырежды,,red,
141,,"Прииди́те, но́ваго виногра́да рожде́ния, Боже́ственнаго весе́лия, в наро́читом дни Воскресе́ния, Ца́рствия Христо́ва приобщи́мся, пою́ще Его́ я́ко Бо́га во ве́ки. 
",red,
142,4 раза,,red,
143,,"Возведи́ о́крест о́чи твои́, Сио́не, и виждь: се бо приидо́ша к тебе́, я́ко богосве́тлая свети́ла, от за́пада, и се́вера, и мо́ря, и восто́ка ча́да твоя́, в тебе́ благословя́щая Христа́ во ве́ки. 
",red,
144,4 раза,,red,
145,"<Тро́ичен:>
",,red,
146,,"О́тче Вседержи́телю, и Сло́ве, и Ду́ше, треми́ соединя́емое во Ипоста́сех Естество́, Пресу́щественне и Пребоже́ственне, в Тя крести́хомся, и Тя благослови́м во вся ве́ки. 
",red,
147,4 раза,,red,
148,"<Та́же, ектениа́, и возгла́с:>
",,red,
149,"<Припевы на 9-й песни:>
",,red,
150,,"Я́ко благослови́ся и́мя Твое́, и просла́вися Ца́рство Твое́, Отца́, и Сы́на, и Свята́го Ду́ха, ны́не и при́сно, и во ве́ки веко́в.
",black,0.0
151,"<Ирмос:>
",,red,
152,,"Вели́чит душа́ моя́ воскре́сшаго тридне́вно от гро́ба Христа́ Жизнодавца.
",black,0.0
153,"<И вторы́й ли́к пое́т то́йже припе́в, и ирмо́с.>
",,red,
154,,"Свети́ся, свети́ся, но́вый Иерусали́ме: сла́ва бо Госпо́дня на тебе́ возсия́. Лику́й ны́не и весели́ся, Сио́не. Ты же, Чи́стая, красу́йся, Богоро́дице, о воста́нии Рождества́ Твоего́.
",black,0.0
155,"<Та́же, пе́рвый ли́к пое́т вторы́й припе́в:>
",,red,
156,"<Ирмос:>
",,red,
157,,"Вели́чит душа́ моя́ воскре́сшаго тридне́вно от гро́ба Христа́ Жизнодавца.
",black,0.0
158,"<И вторы́й ли́к пое́т то́йже припе́в и ирмо́с.>
",,red,
159,,"Свети́ся:
",black,0.0
160,"<Та́же, пе́рвый ли́к пое́т тре́тий припе́в:>
",,red,
161,"<И сти́х.>
",,red,
162,,"Христо́с но́вая Па́сха, же́ртва жива́я, а́гнец Бо́жий взе́мляй грехи́ ми́ра.
",black,0.0
163,"<И вторы́й ли́к пое́т то́йже припе́в, и сти́х.>
",,red,
164,"<Та́же, пе́рвый ли́к пое́т четве́ртый припе́в:>
",,red,
165,"<И сти́х:>
",,red,
166,,"А́нгел вопия́ше Благода́тней: Чи́стая Де́во, ра́дуйся! И па́ки реку́: ра́дуйся! Твой Сын воскре́се тридне́вен от гро́ба, и ме́ртвыя воздви́гнувый: лю́дие, весели́теся.
",black,0.0
167,"<И вторы́й ли́к пое́т то́йже припе́в, и сти́х.>
",,red,
168,"<И про́чих о́смь припе́вов припева́ют по еди́ножды ко стихо́м:>
",,red,
169,"<Припев:>
",,red,
170,,"Возбуди́л еси́ усну́в мертвыя от ве́ка, ца́рски рыка́вый я́ко от Иу́ды лев.
",black,0.0
171,"<Последи́ же пе́рвый ли́к пое́т па́ки пе́рвый припе́в и ирмо́с.>
",,red,
172,,"Магдали́на Мари́я притече́ ко гро́бу, и Христа́ ви́девши, я́ко вертогра́даря вопроша́ше.
А́нгел облиста́яй жена́м вопия́ше: преста́ните от слез, я́ко Христо́с воскре́се.
Христо́с воскре́се, смерть попра́вый, и ме́ртвыя воздви́гнувый, лю́дие весели́теся.
Днесь вся́ка тварь весели́тся и ра́дуется: я́ко Христо́с воскре́се, и ад плени́ся.
Днесь Влады́ка плени́ а́да, воздви́гнувый ю́зники, я́же от ве́ка имя́ше лю́те одержи́мыя.
Вели́чит душа́ моя́ Триипоста́снаго и Неразде́льнаго Божества́ держа́ву.
Ра́дуйся, Де́во, ра́дуйся, ра́дуйся, Благослове́нная, ра́дуйся, Препросла́вленная! Твой бо Сын воскре́се тридне́вен от гро́ба.
",black,0.0
173,"<Та́же о́ба ли́ка, соше́дшеся вку́пе, пою́т ирмо́с, и тропа́рь:>
",,red,
174,"<три́жды.>
",,red,
175,,"Христо́с воскре́се:
",black,0.0
176,"<Песнь 9.>
",,red,
177,"<Ирмос:>
",,red,
178,"<Ектениа́, и возгла́с:>
",,red,
