 ,red_text,black_text,color,temp
25,"τὸ αὐτὸ Εἶτα ὁ Ἱερεύς, γεγονωτέρᾳ φωνῇ",,red,
26,"Χριστὸς ἀνέστη ἐκ νεκρῶν, θανάτῳ θάνατον πατήσας...",,red,
27,Ὁ Χορὸς,,red,
28,,Καὶ τοῖς ἐν τοῖς μνήμασι ζωὴν χαρισάμενος.,black,
29,"Ἐν εἰρήνῃ τοῦ Κυρίου δεηθῶμεν... Ὅτι πρέπει σοι, πᾶσα δόξα, τιμὴ καὶ προσκύνησις, τῷ Πατρὶ καὶ τῷ Υἱῷ καὶ τῷ Ἁγίῳ Πνεύματι, νῦν καὶ ἀεὶ καὶ εἰς τοὺς αἰῶνας τῶν αἰώνων.",,red,
30,,Ἀμήν.,black,
31,"Ὁ Κανών, ποίημα Ἰωάννου τοῦ Δαμασκηνοῦ. ᾨδὴ α' Ἦχος α' εἱρμὸς",,red,
32,,"«Ἀναστάσεως ἡμέρα λαμπρυνθῶμεν Λαοί, Πάσχα Κυρίου, Πάσχα· ἐκ γὰρ θανάτου πρὸς ζωήν, καὶ ἐκ γῆς πρὸς οὐρανόν, Χριστὸς ὁ Θεός, ἡμᾶς διεβίβασεν, ἐπινίκιον ᾄδοντας».",black,
33,,"Καθαρθῶμεν τὰς αἰσθήσεις, καὶ ὀψόμεθα, τῷ ἀπροσίτῳ φωτὶ τῆς ἀναστάσεως, Χριστὸν ἐξαστράπτοντα, καί, Χαίρετε, φάσκοντα, τρανῶς ἀκουσόμεθα, ἐπινίκιον ᾄδοντες.",black,
34,,"Οὐρανοὶ μὲν ἐπαξίως εὐφραινέσθωσαν, γῆ δὲ ἀγαλλιάσθω, ἑορταζέτω δὲ κόσμος, ὁρατός τε ἅπας καὶ ἀόρατος· Χριστὸς γὰρ ἐγήγερται, εὐφροσύνη αἰώνιος.",black,
35,Καταβασία,,red,
36,,"«Ἀναστάσεως ἡμέρα λαμπρυνθῶμεν Λαοί, Πάσχα Κυρίου, Πάσχα· ἐκ γὰρ θανάτου πρὸς ζωήν, καὶ ἐκ γῆς πρὸς οὐρανόν, Χριστὸς ὁ Θεός, ἡμᾶς διεβίβασεν, ἐπινίκιον ᾄδοντας».",black,
37,,Χριστὸς ἀνέστη...,black,
38,γ',,red,
39,,"Ἀναστὰς ὁ Ἰησοῦς ἀπὸ τοῦ τάφου καθὼς προεῖπεν, ἔδωκεν ἡμῖν τὴν αἰώνιον ζωὴν καὶ μέγα ἔλεος.",black,
40,"Εἶτα, Συναπτὴ μικρὰ μεθ' ἣν Ἐκφώνησις",,red,
41,"Ὅτι σὸν τὸ κράτος καί σοῦ ἐστιν ἡ βασιλεία καὶ ἡ δύναμις καὶ ἡ δόξα, τοῦ Πατρὸς καί τοῦ Υἱοῦ καί τοῦ Ἁγίου Πνεύματος, νῦν καὶ ἀεὶ καὶ εἰς τοὺς αἰῶνας τῶν αἰώνων.",,red,
42,ᾨδὴ γ' Ὁ εἱρμὸς,,red,
43,,"«Δεῦτε πόμα πίωμεν καινόν, οὐκ ἐκ πέτρας ἀγόνου τερατουργούμενον, ἀλλ' ἀφθαρσίας πηγήν, ἐκ τάφου ὀμβρήσαντος Χριστοῦ, ἐν ᾧ στερεούμεθα».",black,
44,,"Νῦν πάντα πεπλήρωται φωτός, οὐρανός τε καὶ γῆ, καὶ τὰ καταχθόνια· ἑορταζέτω γοῦν πᾶσα κτίσις, τὴν Ἔγερσιν Χριστοῦ, ἐν ᾗ ἐστερέωται.",black,
45,,"Χθὲς συνεθαπτόμην σοι Χριστὲ συνεγείρομαι σήμερον ἀναστάντι σοι, συνεσταυρούμην σοι χθὲς, αὐτός με συνδόξασον Σωτήρ, ἐν τῇ βασιλείᾳ σου.",black,
46,Καταβασία,,red,
47,,"«Δεῦτε πόμα πίωμεν καινόν, οὐκ ἐκ πέτρας ἀγόνου τερατουργούμενον, ἀλλ' ἀφθαρσίας πηγήν, ἐκ τάφου ὀμβρήσαντος Χριστοῦ, ἐν ᾧ στερεούμεθα».",black,
48,,Χριστὸς ἀνέστη...,black,
49,γ',,red,
50,,"Ἀναστὰς ὁ Ἰησοῦς ἀπὸ τοῦ τάφου καθὼς προεῖπεν, ἔδωκεν ἡμῖν τὴν αἰώνιον ζωὴν καὶ μέγα ἔλεος.",black,
51,"Εἶτα, Συναπτὴ μικρὰ μεθ' ἣν Ἐκφώνησις",,red,
52,"Ὅτι σὺ εἶ ὁ Θεὸς ἡμῶν, καὶ σοὶ τὴν δόξαν ἀναπέμπομεν, τῷ Πατρὶ καὶ τῷ Υἱῷ καὶ τῷ Ἁγίῳ Πνεύματι, νῦν καὶ ἀεὶ καὶ εἰς τοὺς αἰῶνας τῶν αἰώνων",,red,
53,Ἡ Ὑπακοὴ Ἦχος δ',,red,
54,,"Προλαβοῦσαι τὸν ὄρθρον αἱ περὶ Μαριάμ, καὶ εὑροῦσαι τὸν λίθον ἀποκυλισθέντα τοῦ μνήματος, ἤκουον ἐκ τοῦ Ἀγγέλου· Τὸν ἐν φωτὶ ἀϊδίῳ ὑπάρχοντα, μετὰ νεκρῶν τί ζητεῖτε ὡς ἄνθρωπον; βλέπετε τὰ ἐντάφια σπάργανα, δράμετε, καὶ τῷ κόσμῳ κηρύξατε, ὡς ἠγέρθη ὁ Κύριος, θανατώσας τὸν θάνατον, ὅτι ὑπάρχει Θεοῦ Υἱός, τοῦ σῴζοντος τὸ γένος τῶν ἀνθρώπων.",black,
55,Καὶ ἀνάγνωσις εἰς τὸν Θεολόγον  ᾨδὴ δ' Ὁ εἱρμὸς,,red,
56,,"«Ἐπὶ τῆς θείας φυλακῆς ὁ θεηγόρος Ἀββακούμ, στήτω μεθ' ἡμῶν καὶ δεικνύτω, φαεσφόρον Ἄγγελον, διαπρυσίως λέγοντα· Σήμερον σωτηρία τῷ κόσμῳ, ὅτι ἀνέστη Χριστός ὡς παντοδύναμος».",black,
57,,"Ἄρσεν μέν, ὡς διανοῖξαν, τὴν παρθενεύουσαν νηδύν, πέφηνε Χριστός, ὡς βροτὸς δέ, ἀμνὸς προσηγόρευται, ἄμωμος δέ, ὡς ἄγευστος κηλῖδος, τὸ ἡμέτερον Πάσχα, καὶ ὡς Θεὸς ἀληθής, τέλειος λέλεκται.",black,
58,,"Ὡς ἐνιαύσιος ἀμνός, ὁ εὐλογούμενος ἡμῖν, στέφανος χρηστὸς ἑκουσίως, ὑπὲρ πάντων τέθυται, Πάσχα τὸ καθαρτήριον, καὶ αὖθις ἐκ τοῦ τάφου ὡραῖος, δικαιοσύνης ἡμῖν ἔλαμψεν ἥλιος.",black,
59,,"Ὁ θεοπάτωρ μὲν Δαυΐδ, πρὸ τῆς σκιώδους κιβωτοῦ ἥλατο σκιρτῶν, ὁ λαὸς δὲ τοῦ Θεοῦ ὁ ἅγιος, τὴν τῶν συμβόλων ἔκβασιν, ὁρῶντες, εὐφρανθῶμεν ἐνθέως, ὅτι ἀνέστη Χριστὸς ὡς παντοδύναμος.",black,
60,Καταβασία,,red,
61,,"«Ἐπὶ τῆς θείας φυλακῆς ὁ θεηγόρος Ἀββακούμ, στήτω μεθ' ἡμῶν καὶ δεικνύτω, φαεσφόρον Ἄγγελον, διαπρυσίως λέγοντα· Σήμερον σωτηρία τῷ κόσμῳ, ὅτι ἀνέστη Χριστός ὡς παντοδύναμος».",black,
62,,Χριστὸς ἀνέστη...,black,
63,γ',,red,
64,,"Ἀναστὰς ὁ Ἰησοῦς ἀπὸ τοῦ τάφου καθὼς προεῖπεν, ἔδωκεν ἡμῖν τὴν αἰώνιον ζωὴν καὶ μέγα ἔλεος.",black,
65,"Εἶτα, Συναπτὴ μικρὰ μεθ' ἣν Ἐκφώνησις",,red,
66,"Ὅτι ἀγαθὸς καὶ φιλάνθρωπος Θεὸς ὑπάρχεις καὶ σοὶ τὴν δόξαν ἀναπέμπομεν, τῷ Πατρὶ καὶ τῷ Υἱῷ καὶ τῷ Ἁγίῳ Πνεύματι, νῦν καὶ ἀεὶ καὶ εἰς τοὺς αἰῶνας τῶν αἰώνων.",,red,
67,ᾨδὴ ε' Ὁ εἱρμὸς,,red,
68,,"«Ὀρθρίσωμεν ὄρθρου βαθέος, καὶ ἀντὶ μυρου τὸν ὕμνον προσοίσομεν τῷ Δεσπότῃ, καὶ Χριστὸν ὀψόμεθα, δικαιοσύνης ἥλιον, πᾶσι ζωὴν ἀνατέλλοντα».",black,
69,,"Τὴν ἄμετρόν σου εὐσπλαγχνίαν, οἱ ταῖς τοῦ ᾍδου σειραῖς, συνεχόμενοι δεδορκότες, πρὸς τὸ φῶς ἠπείγοντο Χριστέ, ἀγαλλομένῳ ποδί, Πάσχα κροτοῦντες αἰώνιον.",black,
70,,"Προσέλθωμεν λαμπαδηφόροι, τῷ προϊόντι Χριστῷ ἐκ τοῦ μνήματος, ὡς νυμφίῳ, καὶ συνεορτάσωμεν ταῖς φιλεόρτοις τάξεσι, Πάσχα Θεοῦ τὸ σωτήριον.",black,
71,Καταβασία,,red,
72,,"«Ὀρθρίσωμεν ὄρθρου βαθέος, καὶ ἀντὶ μύρου τὸν ὕμνον προσοίσομεν τῷ Δεσπότῃ, καὶ Χριστὸν ὀψόμεθα, δικαιοσύνης ἥλιον, πᾶσι ζωὴν ἀνατέλλοντα».",black,
73,,Χριστὸς ἀνέστη...,black,
74,γ',,red,
75,,"Ἀναστὰς ὁ Ἰησοῦς ἀπὸ τοῦ τάφου καθὼς προεῖπεν, ἔδωκεν ἡμῖν τὴν αἰώνιον ζωὴν καὶ μέγα ἔλεος.",black,
76,"Εἶτα, Συναπτὴ μικρὰ μεθ' ἣν Ἐκφώνησις",,red,
77,"Ὅτι ἡγίασται καὶ δεδόξασται τὸ πάντιμον καὶ μεγαλοπρεπές ὄνομά σου, τοῦ Πατρὸς καί τοῦ Υἱοῦ καί τοῦ Ἁγίου Πνεύματος, νῦν καὶ ἀεὶ καὶ εἰς τοὺς αἰῶνας τῶν αἰώνων.",,red,
78,ᾨδὴ ς' Ὁ εἱρμὸς,,red,
79,,"«Κατῆλθες ἐν τοῖς κατωτάτοις τῆς γῆς, καὶ συνέτριψας μοχλοὺς αἰωνίους, κατόχους πεπεδημένων Χριστέ, καὶ τριήμερος ὡς ἐκ κήτους Ἰωνᾶς, ἐξανέστης τοῦ τάφου».",black,
80,,"Φυλάξας τὰ σήμαντρα σῷα Χριστέ, ἐξηγέρθης τοῦ τάφου, ὁ τὰς κλεῖς τῆς Παρθένου μὴ λυμηνάμενος ἐν τῷ τόκῳ σου, καὶ ἀνέῳξας ἡμῖν, Παραδείσου τὰς πύλας.",black,
81,,"Σῶτέρ μου τὸ ζῶν τε καὶ ἄθυτον, ἱερεῖον, ὡς Θεός, σεαυτὸν ἑκουσίως, προσαγαγὼν τῷ Πατρί, συνανέστησας, παγγενῆ τὸν Ἀδάμ, ἀναστὰς ἐκ τοῦ τάφου.",black,
82,Καταβασία,,red,
83,,"«Κατῆλθες ἐν τοῖς κατωτάτοις τῆς γῆς, καὶ συνέτριψας μοχλοὺς αἰωνίους, κατόχους πεπεδημένων Χριστέ, καὶ τριήμερος ὡς ἐκ κήτους Ἰωνᾶς, ἐξανέστης τοῦ τάφου».",black,
84,,Χριστὸς ἀνέστη...,black,
85,γ',,red,
86,,"Ἀναστὰς ὁ Ἰησοῦς ἀπὸ τοῦ τάφου καθὼς προεῖπεν, ἔδωκεν ἡμῖν τὴν αἰώνιον ζωὴν καὶ μέγα ἔλεος.",black,
87,"Εἶτα, Συναπτὴ μικρὰ μεθ' ἣν Ἐκφώνησις",,red,
88,"Σὺ γὰρ εἶ ὁ Βασιλεύς τῆς εἰρήνης καὶ Σωτήρ τῶν ψυχῶν ἡμῶν, καὶ σοὶ τὴν δόξαν ἀναπέμπομεν, τῷ Πατρὶ καὶ τῷ Υἱῷ καὶ τῷ Ἁγίῳ Πνεύματι, νῦν καὶ ἀεὶ καὶ εἰς τοὺς αἰῶνας τῶν αἰώνων.",,red,
89,Κοντάκιον Ἦχος δ' Ἦχος πλ. δ',,red,
90,,"Εἰ καὶ ἐν τάφῳ κατῆλθες ἀθάνατε, ἀλλὰ τοῦ ᾍδου καθεῖλες τὴν δύναμιν, καὶ ἀνέστης ὡς νικητής, Χριστὲ ὁ Θεός, γυναιξὶ Μυροφόροις φθεγξάμενος. Χαίρετε, καὶ τοῖς σοῖς Ἀποστόλοις εἰρήνην δωρούμενος",black,
91,Ὁ Οἶκος,,red,
92,,"Τὸν πρὸ ἡλίου Ἥλιον, δύναντα ποτὲ ἐν τάφῳ, προέφθασαν πρὸς ὄρθρον, ἐκζητοῦσαι ὡς ἡμέραν, Μυροφόροι κόραι, καὶ πρὸς ἀλλήλας ἐβόων· Ὦ φίλαι, δεῦτε τοῖς ἀρώμασιν ὑπαλείψωμεν, Σῶμα ζωηφόρον καὶ τεθαμμένον, σάρκα ἀνιστῶσαν τὸν παραπεσόντα Ἀδὰμ κείμενον ἐν τῷ μνήματι, ἄγωμεν, σπεύσωμεν, ὥσπερ οἱ Μάγοι, καὶ προσκυνήσωμεν, καὶ προσκομίσωμεν τὰ μύρα ὡς δῶρα τῷ μὴ ἐν σπαργάνοις, ἀλλ' ἐν σινδόνι ἐνειλημένῳ, καὶ κλαύσωμεν, καὶ κράξωμεν· Ὦ Δέσποτα ἐξεγέρθητι,",black,
93,Συναξάριον,,red,
94,,"Τῇ ἁγίᾳ καὶ μεγάλῃ Κυριακῇ τοῦ Πάσχα, αὐτὴν τὴν ζωηφόρον Ἀνάστασιν ἑορτάζομεν τοῦ Κυρίου, καὶ Θεοῦ καὶ Σωτῆρος ἡμῶν Ἰησοῦ Χριστοῦ.",black,
95,Στίχοι,,red,
96,,Χριστὸς κατελθὼν πρὸς πύλην ᾍδου μόνος,black,
97,,Λαβὼν ἀνῆλθε πολλὰ τῆς νίκης σκῦλα.,black,
98,,"Ἀνάστασιν Χριστοῦ θεασάμενοι, προσκυνήσωμεν Ἅγιον, Κύριον, Ἰησοῦν τὸν μόνον ἀναμάρτητον. Τὸν Σταυρόν σου, Χριστέ, προσκυνοῦμεν, καὶ τὴν ἁγίαν σου Ἀνάστασιν ὑμνοῦμεν καὶ δοξάζομεν. Σὺ γὰρ εἶ Θεὸς ἡμῶν, ἐκτός σου ἄλλον οὐκ οἴδαμεν, τὸ ὄνομά σου ὀνομάζομεν. Δεῦτε πάντες οἱ πιστοί, προσκυνήσωμεν τὴν τοῦ Χριστοῦ ἁγίαν Ἀνάστασιν· ἰδοὺ γὰρ ἦλθε διὰ τοῦ Σταυροῦ, χαρὰ ἐν ὅλῳ τῷ κόσμῳ. Διὰ παντὸς εὐλογοῦντες τὸν Κύριον, ὑμνοῦμεν τὴν Ἀνάστασιν αὐτοῦ· Σταυρὸν γὰρ ὑπομείνας δι' ἡμᾶς, θανάτῳ θάνατον ὤλεσεν.",black,
99,γ',,red,
100,,"Ἀναστὰς ὁ Ἰησοῦς ἀπὸ τοῦ τάφου καθὼς προεῖπεν, ἔδωκεν ἡμῖν τὴν αἰώνιον ζωὴν καὶ μέγα ἔλεος.",black,
101,γ',,red,
102,,.,black,
103,ᾨδὴ ζ' Ὁ εἱρμὸς,,red,
104,,"«Ὁ Παῖδας ἐκ καμίνου ῥυσάμενος, γενόμενος ἄνθρωπος, πάσχει ὡς θνητός, καὶ διὰ Πάθους τὸ θνητόν, ἀφθαρσίας ἐνδύει εὐπρέπειαν, ὁ μόνος εὐλογητὸς τῶν Πατέρων, Θεὸς καὶ ὑπερένδοξος».",black,
105,,"Γυναῖκες μετὰ μύρων θεόφρονες, ὀπίσω σου ἔδραμον, ὃν δὲ ὡς θνητόν, μετὰ δακρύων ἐζήτουν, προσεκύνησαν χαίρουσαι ζῶντα Θεόν, καὶ Πάσχα τὸ μυστικὸν σοῖς Χριστὲ Μαθηταῖς εὐηγγελίσαντο.",black,
106,,"Θανάτου ἑορτάζομεν νέκρωσιν, ᾍδου τὴν καθαίρεσιν, ἄλλης βιοτῆς, τῆς αἰωνίου ἀπαρχήν, καὶ σκιρτῶντες ὑμνοῦμεν τὸν αἴτιον, τὸν μόνον εὐλογητὸν τῶν Πατέρων, Θεὸν καὶ ὑπερένδοξον.",black,
107,,"Ὡς ὄντως ἱερὰ καὶ πανέορτος, αὕτη ἡ σωτήριος, νὺξ καὶ φωταυγής, τῆς λαμπροφόρου ἡμέρας, τῆς Ἐγέρσεως οὖσα προάγγελος, ἐν ᾗ τὸ ἄχρονον φῶς, ἐκ τάφου σωματικῶς πᾶσιν ἐπέλαμψεν.",black,
108,Καταβασία,,red,
109,,"«Ὁ Παῖδας ἐκ καμίνου ῥυσάμενος, γενόμενος ἄνθρωπος, πάσχει ὡς θνητός, καὶ διὰ Πάθους τὸ θνητόν, ἀφθαρσίας ἐνδύει εὐπρέπειαν, ὁ μόνος εὐλογητὸς τῶν Πατέρων, Θεὸς καὶ ὑπερένδοξος».",black,
110,,Χριστὸς ἀνέστη...,black,
111,γ',,red,
112,,"Ἀναστὰς ὁ Ἰησοῦς ἀπὸ τοῦ τάφου καθὼς προεῖπεν, ἔδωκεν ἡμῖν τὴν αἰώνιον ζωὴν καὶ μέγα ἔλεος.",black,
113,"Εἶτα, Συναπτὴ μικρὰ μεθ' ἣν Ἐκφώνησις",,red,
114,"Εἴη τὸ κράτος τῆς βασιλείας σου εὐλογημένον καὶ δεδοξασμένον, τοῦ Πατρός, καὶ τοῦ Υἱοῦ, καὶ τοῦ ἁγίου Πνεύματος, νῦν, καὶ ἀεί, καὶ εἰς τοὺς αἰῶνας τῶν αἰώνων.",,red,
115,ᾨδὴ η' Ὁ εἱρμὸς,,red,
116,,"«Αὕτη ἡ κλητὴ καὶ ἁγία ἡμέρα, ἡ μία τῶν Σαββάτων, ἡ βασιλὶς καὶ κυρία, ἑορτῶν ἑορτή, καὶ πανήγυρις ἐστὶ πανηγύρεων, ἐν ᾗ εὐλογοῦμεν, Χριστὸν εἰς τοὺς αἰῶνας».",black,
117,,"Δεῦτε τοῦ καινοῦ τῆς ἀμπέλου γεννήματος τῆς θείας εὐφροσύνης, ἐν τῇ εὐσήμῳ ἡμέρᾳ τῆς ἐγέρσεως, βασιλείας τε Χριστοῦ κοινωνήσωμεν, ὑμνοῦντες αὐτόν, ὡς Θεόν εἰς τοὺς αἰῶνας.",black,
118,,"Ἆρον κύκλῳ τοὺς ὀφθαλμούς σου Σιὼν καὶ ἴδε· ἰδοὺ γὰρ ἥκασί σοι, θεοφεγγεῖς ὡς φωστῆρες, ἐκ δυσμῶν καὶ βορρᾶ, καὶ θαλάσσης, καὶ ἑῴας τᾶ τέκνα σου ἐν σοὶ εὐλογοῦντα, Χριστὸν εἰς τοὺς αἰῶνας.",black,
119,,"Πάτερ παντοκράτορ, καὶ Λόγε, καὶ Πνεῦμα, τρισὶν ἑνιζομένη, ἐν ὑποστάσεσι φύσις, ὑπερούσιε καὶ ὑπέρθεε εἰς σὲ βεβαπτίσμεθα, καὶ σὲ εὐλογοῦμεν, εἰς πάντας τοὺς αἰῶνας.",black,
120,Καταβασία,,red,
121,,"«Αὕτη ἡ κλητὴ καὶ ἁγία ἡμέρα, ἡ μία τῶν Σαββάτων, ἡ βασιλὶς καὶ κυρία, ἑορτῶν ἑορτή, καὶ πανήγυρις ἐστὶ πανηγύρεων, ἐν ᾗ εὐλογοῦμεν, Χριστὸν εἰς τοὺς αἰῶνας».",black,
122,,Χριστὸς ἀνέστη...,black,
123,γ',,red,
124,,"Ἀναστὰς ὁ Ἰησοῦς ἀπὸ τοῦ τάφου καθὼς προεῖπεν, ἔδωκεν ἡμῖν τὴν αἰώνιον ζωὴν καὶ μέγα ἔλεος.",black,
125,"Εἶτα, Συναπτὴ μικρὰ μεθ' ἣν Ἐκφώνησις",,red,
126,"Ὅτι ηὐλόγηταί σου τὸ ὄνομα, καὶ δεδόξασταί σου ἡ Βασιλεία τοῦ Πατρὸς καί τοῦ Υἱοῦ καί τοῦ Ἁγίου Πνεύματος, νῦν καὶ ἀεὶ καὶ εἰς τοὺς αἰῶνας τῶν αἰώνων.",,red,
127,ᾨδὴ θ' τοῦ Πάσχα.,,red,
128,,"Φωτίζου, φωτίζου ἡ νέα Ἱερουσαλήμ· ἡ γὰρ δόξα Κυρίου ἐπὶ σὲ ἀνέτειλε. Χόρευε νῦν, καὶ ἀγάλλου Σιών· σὺ δὲ ἁγνή, τέρπου, Θεοτόκε, ἐν τῇ ἐγέρσει τοῦ τόκου σου.",black,
129,,"Φωτίζου, φωτίζου ἡ νέα Ἱερουσαλήμ· ἡ γὰρ δόξα Κυρίου ἐπὶ σὲ ἀνέτειλε. Χόρευε νῦν, καὶ ἀγάλλου Σιών· σὺ δὲ ἁγνή, τέρπου, Θεοτόκε, ἐν τῇ ἐγέρσει τοῦ τόκου σου.",black,
130,,"῍Ω θείας! ὢ φίλης! ὢ γλυκυτάτης σου φωνῆς! μεθ' ἡμῶν ἀψευδῶς γάρ, ἐπηγγείλω, ἔσεσθαι, μέχρι τερμάτων αἰῶνος Χριστέ· ἣν οἱ πιστοί, ἄγκυραν ἐλπίδος, κατέχοντες ἀγαλλόμεθα.",black,
131,,"῍Ω Πάσχα τὸ μέγα, καὶ ἱερώτατον Χριστέ· ὤ σοφία καὶ Λόγε, τοῦ Θεοῦ καὶ δύναμις· δίδου ἡμῖν ἐκτυπώτερον, σοῦ μετασχεῖν, ἐν τῇ ἀνεσπέρῳ, ἡμέρᾳ τῆς βασιλείας σου.",black,
132,,Δόξα...,black,
133,,"Συμφώνως Παρθένε, σὲ μακαρίζομεν πιστοί· Χαῖρε πύλη Κυρίου· χαῖρε πόλις ἔμψυχε· χαῖρε, δι' ἧς ἡμῖν ἔλαμψε, σήμερον φῶς τοῦ ἐκ σοῦ τεχθέντος, τῆς ἐκ νεκρῶν ἀναστάσεως.",black,
134,,Καὶ νῦν...,black,
135,,"Εὐφραίνου, ἀγάλλου, ἡ θεία πύλη τοῦ φωτός· ὁ γὰρ δύνας ἐν τάφῳ, Ἰησοῦς ἀνέτειλε, λάμψας ἡλίου φαιδρότερον, καὶ τοὺς πιστοὺς πάντας καταυγάσας, θεοχαρίτωτε Δέσποινα.",black,
136,Καταβασία,,red,
