,red_text,black_text,color,temp,service
32,"Ὁ Κανών, ποίημα Ἰωάννου τοῦ Δαμασκηνοῦ. ᾨδὴ α' Ἦχος α' εἱρμὸς",,red,,
33,,"«Ἀναστάσεως ἡμέρα λαμπρυνθῶμεν Λαοί, Πάσχα Κυρίου, Πάσχα· ἐκ γὰρ θανάτου πρὸς ζωήν, καὶ ἐκ γῆς πρὸς οὐρανόν, Χριστὸς ὁ Θεός, ἡμᾶς διεβίβασεν, ἐπινίκιον ᾄδοντας».",black,,
34,,"Καθαρθῶμεν τὰς αἰσθήσεις, καὶ ὀψόμεθα, τῷ ἀπροσίτῳ φωτὶ τῆς ἀναστάσεως, Χριστὸν ἐξαστράπτοντα, καί, Χαίρετε, φάσκοντα, τρανῶς ἀκουσόμεθα, ἐπινίκιον ᾄδοντες.",black,,
35,,"Οὐρανοὶ μὲν ἐπαξίως εὐφραινέσθωσαν, γῆ δὲ ἀγαλλιάσθω, ἑορταζέτω δὲ κόσμος, ὁρατός τε ἅπας καὶ ἀόρατος· Χριστὸς γὰρ ἐγήγερται, εὐφροσύνη αἰώνιος.",black,,
36,Καταβασία,,red,,
37,,"«Ἀναστάσεως ἡμέρα λαμπρυνθῶμεν Λαοί, Πάσχα Κυρίου, Πάσχα· ἐκ γὰρ θανάτου πρὸς ζωήν, καὶ ἐκ γῆς πρὸς οὐρανόν, Χριστὸς ὁ Θεός, ἡμᾶς διεβίβασεν, ἐπινίκιον ᾄδοντας».",black,,
38,,Χριστὸς ἀνέστη...,black,,
39,γ',,red,,
40,,"Ἀναστὰς ὁ Ἰησοῦς ἀπὸ τοῦ τάφου καθὼς προεῖπεν, ἔδωκεν ἡμῖν τὴν αἰώνιον ζωὴν καὶ μέγα ἔλεος.",black,,
41,"Εἶτα, Συναπτὴ μικρὰ μεθ' ἣν Ἐκφώνησις",,red,,
42,"Ὅτι σὸν τὸ κράτος καί σοῦ ἐστιν ἡ βασιλεία καὶ ἡ δύναμις καὶ ἡ δόξα, τοῦ Πατρὸς καί τοῦ Υἱοῦ καί τοῦ Ἁγίου Πνεύματος, νῦν καὶ ἀεὶ καὶ εἰς τοὺς αἰῶνας τῶν αἰώνων.",,red,,
43,ᾨδὴ γ' Ὁ εἱρμὸς,,red,,
44,,"«Δεῦτε πόμα πίωμεν καινόν, οὐκ ἐκ πέτρας ἀγόνου τερατουργούμενον, ἀλλ' ἀφθαρσίας πηγήν, ἐκ τάφου ὀμβρήσαντος Χριστοῦ, ἐν ᾧ στερεούμεθα».",black,,
45,,"Νῦν πάντα πεπλήρωται φωτός, οὐρανός τε καὶ γῆ, καὶ τὰ καταχθόνια· ἑορταζέτω γοῦν πᾶσα κτίσις, τὴν Ἔγερσιν Χριστοῦ, ἐν ᾗ ἐστερέωται.",black,,
46,,"Χθὲς συνεθαπτόμην σοι Χριστὲ συνεγείρομαι σήμερον ἀναστάντι σοι, συνεσταυρούμην σοι χθὲς, αὐτός με συνδόξασον Σωτήρ, ἐν τῇ βασιλείᾳ σου.",black,,
47,Καταβασία,,red,,
48,,"«Δεῦτε πόμα πίωμεν καινόν, οὐκ ἐκ πέτρας ἀγόνου τερατουργούμενον, ἀλλ' ἀφθαρσίας πηγήν, ἐκ τάφου ὀμβρήσαντος Χριστοῦ, ἐν ᾧ στερεούμεθα».",black,,
49,,Χριστὸς ἀνέστη...,black,,
50,γ',,red,,
51,,"Ἀναστὰς ὁ Ἰησοῦς ἀπὸ τοῦ τάφου καθὼς προεῖπεν, ἔδωκεν ἡμῖν τὴν αἰώνιον ζωὴν καὶ μέγα ἔλεος.",black,,
52,"Εἶτα, Συναπτὴ μικρὰ μεθ' ἣν Ἐκφώνησις",,red,,
53,"Ὅτι σὺ εἶ ὁ Θεὸς ἡμῶν, καὶ σοὶ τὴν δόξαν ἀναπέμπομεν, τῷ Πατρὶ καὶ τῷ Υἱῷ καὶ τῷ Ἁγίῳ Πνεύματι, νῦν καὶ ἀεὶ καὶ εἰς τοὺς αἰῶνας τῶν αἰώνων",,red,,
54,Ἡ Ὑπακοὴ Ἦχος δ',,red,,
55,,"Προλαβοῦσαι τὸν ὄρθρον αἱ περὶ Μαριάμ, καὶ εὑροῦσαι τὸν λίθον ἀποκυλισθέντα τοῦ μνήματος, ἤκουον ἐκ τοῦ Ἀγγέλου· Τὸν ἐν φωτὶ ἀϊδίῳ ὑπάρχοντα, μετὰ νεκρῶν τί ζητεῖτε ὡς ἄνθρωπον; βλέπετε τὰ ἐντάφια σπάργανα, δράμετε, καὶ τῷ κόσμῳ κηρύξατε, ὡς ἠγέρθη ὁ Κύριος, θανατώσας τὸν θάνατον, ὅτι ὑπάρχει Θεοῦ Υἱός, τοῦ σῴζοντος τὸ γένος τῶν ἀνθρώπων.",black,,
56,Καὶ ἀνάγνωσις εἰς τὸν Θεολόγον  ᾨδὴ δ' Ὁ εἱρμὸς,,red,,
57,,"«Ἐπὶ τῆς θείας φυλακῆς ὁ θεηγόρος Ἀββακούμ, στήτω μεθ' ἡμῶν καὶ δεικνύτω, φαεσφόρον Ἄγγελον, διαπρυσίως λέγοντα· Σήμερον σωτηρία τῷ κόσμῳ, ὅτι ἀνέστη Χριστός ὡς παντοδύναμος».",black,,
58,,"Ἄρσεν μέν, ὡς διανοῖξαν, τὴν παρθενεύουσαν νηδύν, πέφηνε Χριστός, ὡς βροτὸς δέ, ἀμνὸς προσηγόρευται, ἄμωμος δέ, ὡς ἄγευστος κηλῖδος, τὸ ἡμέτερον Πάσχα, καὶ ὡς Θεὸς ἀληθής, τέλειος λέλεκται.",black,,
59,,"Ὡς ἐνιαύσιος ἀμνός, ὁ εὐλογούμενος ἡμῖν, στέφανος χρηστὸς ἑκουσίως, ὑπὲρ πάντων τέθυται, Πάσχα τὸ καθαρτήριον, καὶ αὖθις ἐκ τοῦ τάφου ὡραῖος, δικαιοσύνης ἡμῖν ἔλαμψεν ἥλιος.",black,,
60,,"Ὁ θεοπάτωρ μὲν Δαυΐδ, πρὸ τῆς σκιώδους κιβωτοῦ ἥλατο σκιρτῶν, ὁ λαὸς δὲ τοῦ Θεοῦ ὁ ἅγιος, τὴν τῶν συμβόλων ἔκβασιν, ὁρῶντες, εὐφρανθῶμεν ἐνθέως, ὅτι ἀνέστη Χριστὸς ὡς παντοδύναμος.",black,,
61,Καταβασία,,red,,
62,,"«Ἐπὶ τῆς θείας φυλακῆς ὁ θεηγόρος Ἀββακούμ, στήτω μεθ' ἡμῶν καὶ δεικνύτω, φαεσφόρον Ἄγγελον, διαπρυσίως λέγοντα· Σήμερον σωτηρία τῷ κόσμῳ, ὅτι ἀνέστη Χριστός ὡς παντοδύναμος».",black,,
63,,Χριστὸς ἀνέστη...,black,,
64,γ',,red,,
65,,"Ἀναστὰς ὁ Ἰησοῦς ἀπὸ τοῦ τάφου καθὼς προεῖπεν, ἔδωκεν ἡμῖν τὴν αἰώνιον ζωὴν καὶ μέγα ἔλεος.",black,,
66,"Εἶτα, Συναπτὴ μικρὰ μεθ' ἣν Ἐκφώνησις",,red,,
67,"Ὅτι ἀγαθὸς καὶ φιλάνθρωπος Θεὸς ὑπάρχεις καὶ σοὶ τὴν δόξαν ἀναπέμπομεν, τῷ Πατρὶ καὶ τῷ Υἱῷ καὶ τῷ Ἁγίῳ Πνεύματι, νῦν καὶ ἀεὶ καὶ εἰς τοὺς αἰῶνας τῶν αἰώνων.",,red,,
68,ᾨδὴ ε' Ὁ εἱρμὸς,,red,,
69,,"«Ὀρθρίσωμεν ὄρθρου βαθέος, καὶ ἀντὶ μυρου τὸν ὕμνον προσοίσομεν τῷ Δεσπότῃ, καὶ Χριστὸν ὀψόμεθα, δικαιοσύνης ἥλιον, πᾶσι ζωὴν ἀνατέλλοντα».",black,,
70,,"Τὴν ἄμετρόν σου εὐσπλαγχνίαν, οἱ ταῖς τοῦ ᾍδου σειραῖς, συνεχόμενοι δεδορκότες, πρὸς τὸ φῶς ἠπείγοντο Χριστέ, ἀγαλλομένῳ ποδί, Πάσχα κροτοῦντες αἰώνιον.",black,,
71,,"Προσέλθωμεν λαμπαδηφόροι, τῷ προϊόντι Χριστῷ ἐκ τοῦ μνήματος, ὡς νυμφίῳ, καὶ συνεορτάσωμεν ταῖς φιλεόρτοις τάξεσι, Πάσχα Θεοῦ τὸ σωτήριον.",black,,
72,Καταβασία,,red,,
73,,"«Ὀρθρίσωμεν ὄρθρου βαθέος, καὶ ἀντὶ μύρου τὸν ὕμνον προσοίσομεν τῷ Δεσπότῃ, καὶ Χριστὸν ὀψόμεθα, δικαιοσύνης ἥλιον, πᾶσι ζωὴν ἀνατέλλοντα».",black,,
74,,Χριστὸς ἀνέστη...,black,,
75,γ',,red,,
76,,"Ἀναστὰς ὁ Ἰησοῦς ἀπὸ τοῦ τάφου καθὼς προεῖπεν, ἔδωκεν ἡμῖν τὴν αἰώνιον ζωὴν καὶ μέγα ἔλεος.",black,,
77,"Εἶτα, Συναπτὴ μικρὰ μεθ' ἣν Ἐκφώνησις",,red,,
78,"Ὅτι ἡγίασται καὶ δεδόξασται τὸ πάντιμον καὶ μεγαλοπρεπές ὄνομά σου, τοῦ Πατρὸς καί τοῦ Υἱοῦ καί τοῦ Ἁγίου Πνεύματος, νῦν καὶ ἀεὶ καὶ εἰς τοὺς αἰῶνας τῶν αἰώνων.",,red,,
79,ᾨδὴ ς' Ὁ εἱρμὸς,,red,,
80,,"«Κατῆλθες ἐν τοῖς κατωτάτοις τῆς γῆς, καὶ συνέτριψας μοχλοὺς αἰωνίους, κατόχους πεπεδημένων Χριστέ, καὶ τριήμερος ὡς ἐκ κήτους Ἰωνᾶς, ἐξανέστης τοῦ τάφου».",black,,
81,,"Φυλάξας τὰ σήμαντρα σῷα Χριστέ, ἐξηγέρθης τοῦ τάφου, ὁ τὰς κλεῖς τῆς Παρθένου μὴ λυμηνάμενος ἐν τῷ τόκῳ σου, καὶ ἀνέῳξας ἡμῖν, Παραδείσου τὰς πύλας.",black,,
82,,"Σῶτέρ μου τὸ ζῶν τε καὶ ἄθυτον, ἱερεῖον, ὡς Θεός, σεαυτὸν ἑκουσίως, προσαγαγὼν τῷ Πατρί, συνανέστησας, παγγενῆ τὸν Ἀδάμ, ἀναστὰς ἐκ τοῦ τάφου.",black,,
83,Καταβασία,,red,,
84,,"«Κατῆλθες ἐν τοῖς κατωτάτοις τῆς γῆς, καὶ συνέτριψας μοχλοὺς αἰωνίους, κατόχους πεπεδημένων Χριστέ, καὶ τριήμερος ὡς ἐκ κήτους Ἰωνᾶς, ἐξανέστης τοῦ τάφου».",black,,
85,,Χριστὸς ἀνέστη...,black,,
86,γ',,red,,
87,,"Ἀναστὰς ὁ Ἰησοῦς ἀπὸ τοῦ τάφου καθὼς προεῖπεν, ἔδωκεν ἡμῖν τὴν αἰώνιον ζωὴν καὶ μέγα ἔλεος.",black,,
88,"Εἶτα, Συναπτὴ μικρὰ μεθ' ἣν Ἐκφώνησις",,red,,
89,"Σὺ γὰρ εἶ ὁ Βασιλεύς τῆς εἰρήνης καὶ Σωτήρ τῶν ψυχῶν ἡμῶν, καὶ σοὶ τὴν δόξαν ἀναπέμπομεν, τῷ Πατρὶ καὶ τῷ Υἱῷ καὶ τῷ Ἁγίῳ Πνεύματι, νῦν καὶ ἀεὶ καὶ εἰς τοὺς αἰῶνας τῶν αἰώνων.",,red,,
90,Κοντάκιον Ἦχος δ' Ἦχος πλ. δ',,red,,
91,,"Εἰ καὶ ἐν τάφῳ κατῆλθες ἀθάνατε, ἀλλὰ τοῦ ᾍδου καθεῖλες τὴν δύναμιν, καὶ ἀνέστης ὡς νικητής, Χριστὲ ὁ Θεός, γυναιξὶ Μυροφόροις φθεγξάμενος. Χαίρετε, καὶ τοῖς σοῖς Ἀποστόλοις εἰρήνην δωρούμενος",black,,
92,Ὁ Οἶκος,,red,,
93,,"Τὸν πρὸ ἡλίου Ἥλιον, δύναντα ποτὲ ἐν τάφῳ, προέφθασαν πρὸς ὄρθρον, ἐκζητοῦσαι ὡς ἡμέραν, Μυροφόροι κόραι, καὶ πρὸς ἀλλήλας ἐβόων· Ὦ φίλαι, δεῦτε τοῖς ἀρώμασιν ὑπαλείψωμεν, Σῶμα ζωηφόρον καὶ τεθαμμένον, σάρκα ἀνιστῶσαν τὸν παραπεσόντα Ἀδὰμ κείμενον ἐν τῷ μνήματι, ἄγωμεν, σπεύσωμεν, ὥσπερ οἱ Μάγοι, καὶ προσκυνήσωμεν, καὶ προσκομίσωμεν τὰ μύρα ὡς δῶρα τῷ μὴ ἐν σπαργάνοις, ἀλλ' ἐν σινδόνι ἐνειλημένῳ, καὶ κλαύσωμεν, καὶ κράξωμεν· Ὦ Δέσποτα ἐξεγέρθητι,",black,,
94,Συναξάριον,,red,,
95,,"Τῇ ἁγίᾳ καὶ μεγάλῃ Κυριακῇ τοῦ Πάσχα, αὐτὴν τὴν ζωηφόρον Ἀνάστασιν ἑορτάζομεν τοῦ Κυρίου, καὶ Θεοῦ καὶ Σωτῆρος ἡμῶν Ἰησοῦ Χριστοῦ.",black,,
96,Στίχοι,,red,,
97,,Χριστὸς κατελθὼν πρὸς πύλην ᾍδου μόνος,black,,
98,,Λαβὼν ἀνῆλθε πολλὰ τῆς νίκης σκῦλα.,black,,
99,,"Ἀνάστασιν Χριστοῦ θεασάμενοι, προσκυνήσωμεν Ἅγιον, Κύριον, Ἰησοῦν τὸν μόνον ἀναμάρτητον. Τὸν Σταυρόν σου, Χριστέ, προσκυνοῦμεν, καὶ τὴν ἁγίαν σου Ἀνάστασιν ὑμνοῦμεν καὶ δοξάζομεν. Σὺ γὰρ εἶ Θεὸς ἡμῶν, ἐκτός σου ἄλλον οὐκ οἴδαμεν, τὸ ὄνομά σου ὀνομάζομεν. Δεῦτε πάντες οἱ πιστοί, προσκυνήσωμεν τὴν τοῦ Χριστοῦ ἁγίαν Ἀνάστασιν· ἰδοὺ γὰρ ἦλθε διὰ τοῦ Σταυροῦ, χαρὰ ἐν ὅλῳ τῷ κόσμῳ. Διὰ παντὸς εὐλογοῦντες τὸν Κύριον, ὑμνοῦμεν τὴν Ἀνάστασιν αὐτοῦ· Σταυρὸν γὰρ ὑπομείνας δι' ἡμᾶς, θανάτῳ θάνατον ὤλεσεν.",black,,
100,γ',,red,,
101,,"Ἀναστὰς ὁ Ἰησοῦς ἀπὸ τοῦ τάφου καθὼς προεῖπεν, ἔδωκεν ἡμῖν τὴν αἰώνιον ζωὴν καὶ μέγα ἔλεος.",black,,
102,γ',,red,,
103,,.,black,,
104,ᾨδὴ ζ' Ὁ εἱρμὸς,,red,,
105,,"«Ὁ Παῖδας ἐκ καμίνου ῥυσάμενος, γενόμενος ἄνθρωπος, πάσχει ὡς θνητός, καὶ διὰ Πάθους τὸ θνητόν, ἀφθαρσίας ἐνδύει εὐπρέπειαν, ὁ μόνος εὐλογητὸς τῶν Πατέρων, Θεὸς καὶ ὑπερένδοξος».",black,,
106,,"Γυναῖκες μετὰ μύρων θεόφρονες, ὀπίσω σου ἔδραμον, ὃν δὲ ὡς θνητόν, μετὰ δακρύων ἐζήτουν, προσεκύνησαν χαίρουσαι ζῶντα Θεόν, καὶ Πάσχα τὸ μυστικὸν σοῖς Χριστὲ Μαθηταῖς εὐηγγελίσαντο.",black,,
107,,"Θανάτου ἑορτάζομεν νέκρωσιν, ᾍδου τὴν καθαίρεσιν, ἄλλης βιοτῆς, τῆς αἰωνίου ἀπαρχήν, καὶ σκιρτῶντες ὑμνοῦμεν τὸν αἴτιον, τὸν μόνον εὐλογητὸν τῶν Πατέρων, Θεὸν καὶ ὑπερένδοξον.",black,,
108,,"Ὡς ὄντως ἱερὰ καὶ πανέορτος, αὕτη ἡ σωτήριος, νὺξ καὶ φωταυγής, τῆς λαμπροφόρου ἡμέρας, τῆς Ἐγέρσεως οὖσα προάγγελος, ἐν ᾗ τὸ ἄχρονον φῶς, ἐκ τάφου σωματικῶς πᾶσιν ἐπέλαμψεν.",black,,
109,Καταβασία,,red,,
110,,"«Ὁ Παῖδας ἐκ καμίνου ῥυσάμενος, γενόμενος ἄνθρωπος, πάσχει ὡς θνητός, καὶ διὰ Πάθους τὸ θνητόν, ἀφθαρσίας ἐνδύει εὐπρέπειαν, ὁ μόνος εὐλογητὸς τῶν Πατέρων, Θεὸς καὶ ὑπερένδοξος».",black,,
111,,Χριστὸς ἀνέστη...,black,,
112,γ',,red,,
113,,"Ἀναστὰς ὁ Ἰησοῦς ἀπὸ τοῦ τάφου καθὼς προεῖπεν, ἔδωκεν ἡμῖν τὴν αἰώνιον ζωὴν καὶ μέγα ἔλεος.",black,,
114,"Εἶτα, Συναπτὴ μικρὰ μεθ' ἣν Ἐκφώνησις",,red,,
115,"Εἴη τὸ κράτος τῆς βασιλείας σου εὐλογημένον καὶ δεδοξασμένον, τοῦ Πατρός, καὶ τοῦ Υἱοῦ, καὶ τοῦ ἁγίου Πνεύματος, νῦν, καὶ ἀεί, καὶ εἰς τοὺς αἰῶνας τῶν αἰώνων.",,red,,
116,ᾨδὴ η' Ὁ εἱρμὸς,,red,,
117,,"«Αὕτη ἡ κλητὴ καὶ ἁγία ἡμέρα, ἡ μία τῶν Σαββάτων, ἡ βασιλὶς καὶ κυρία, ἑορτῶν ἑορτή, καὶ πανήγυρις ἐστὶ πανηγύρεων, ἐν ᾗ εὐλογοῦμεν, Χριστὸν εἰς τοὺς αἰῶνας».",black,,
118,,"Δεῦτε τοῦ καινοῦ τῆς ἀμπέλου γεννήματος τῆς θείας εὐφροσύνης, ἐν τῇ εὐσήμῳ ἡμέρᾳ τῆς ἐγέρσεως, βασιλείας τε Χριστοῦ κοινωνήσωμεν, ὑμνοῦντες αὐτόν, ὡς Θεόν εἰς τοὺς αἰῶνας.",black,,
119,,"Ἆρον κύκλῳ τοὺς ὀφθαλμούς σου Σιὼν καὶ ἴδε· ἰδοὺ γὰρ ἥκασί σοι, θεοφεγγεῖς ὡς φωστῆρες, ἐκ δυσμῶν καὶ βορρᾶ, καὶ θαλάσσης, καὶ ἑῴας τᾶ τέκνα σου ἐν σοὶ εὐλογοῦντα, Χριστὸν εἰς τοὺς αἰῶνας.",black,,
120,,"Πάτερ παντοκράτορ, καὶ Λόγε, καὶ Πνεῦμα, τρισὶν ἑνιζομένη, ἐν ὑποστάσεσι φύσις, ὑπερούσιε καὶ ὑπέρθεε εἰς σὲ βεβαπτίσμεθα, καὶ σὲ εὐλογοῦμεν, εἰς πάντας τοὺς αἰῶνας.",black,,
121,Καταβασία,,red,,
122,,"«Αὕτη ἡ κλητὴ καὶ ἁγία ἡμέρα, ἡ μία τῶν Σαββάτων, ἡ βασιλὶς καὶ κυρία, ἑορτῶν ἑορτή, καὶ πανήγυρις ἐστὶ πανηγύρεων, ἐν ᾗ εὐλογοῦμεν, Χριστὸν εἰς τοὺς αἰῶνας».",black,,
123,,Χριστὸς ἀνέστη...,black,,
124,γ',,red,,
125,,"Ἀναστὰς ὁ Ἰησοῦς ἀπὸ τοῦ τάφου καθὼς προεῖπεν, ἔδωκεν ἡμῖν τὴν αἰώνιον ζωὴν καὶ μέγα ἔλεος.",black,,
126,"Εἶτα, Συναπτὴ μικρὰ μεθ' ἣν Ἐκφώνησις",,red,,
127,"Ὅτι ηὐλόγηταί σου τὸ ὄνομα, καὶ δεδόξασταί σου ἡ Βασιλεία τοῦ Πατρὸς καί τοῦ Υἱοῦ καί τοῦ Ἁγίου Πνεύματος, νῦν καὶ ἀεὶ καὶ εἰς τοὺς αἰῶνας τῶν αἰώνων.",,red,,
128,ᾨδὴ θ' τοῦ Πάσχα.,,red,,
129,,"Φωτίζου, φωτίζου ἡ νέα Ἱερουσαλήμ· ἡ γὰρ δόξα Κυρίου ἐπὶ σὲ ἀνέτειλε. Χόρευε νῦν, καὶ ἀγάλλου Σιών· σὺ δὲ ἁγνή, τέρπου, Θεοτόκε, ἐν τῇ ἐγέρσει τοῦ τόκου σου.",black,,
130,,"Φωτίζου, φωτίζου ἡ νέα Ἱερουσαλήμ· ἡ γὰρ δόξα Κυρίου ἐπὶ σὲ ἀνέτειλε. Χόρευε νῦν, καὶ ἀγάλλου Σιών· σὺ δὲ ἁγνή, τέρπου, Θεοτόκε, ἐν τῇ ἐγέρσει τοῦ τόκου σου.",black,,
131,,"῍Ω θείας! ὢ φίλης! ὢ γλυκυτάτης σου φωνῆς! μεθ' ἡμῶν ἀψευδῶς γάρ, ἐπηγγείλω, ἔσεσθαι, μέχρι τερμάτων αἰῶνος Χριστέ· ἣν οἱ πιστοί, ἄγκυραν ἐλπίδος, κατέχοντες ἀγαλλόμεθα.",black,,
132,,"῍Ω Πάσχα τὸ μέγα, καὶ ἱερώτατον Χριστέ· ὤ σοφία καὶ Λόγε, τοῦ Θεοῦ καὶ δύναμις· δίδου ἡμῖν ἐκτυπώτερον, σοῦ μετασχεῖν, ἐν τῇ ἀνεσπέρῳ, ἡμέρᾳ τῆς βασιλείας σου.",black,,
133,,Δόξα...,black,,
134,,"Συμφώνως Παρθένε, σὲ μακαρίζομεν πιστοί· Χαῖρε πύλη Κυρίου· χαῖρε πόλις ἔμψυχε· χαῖρε, δι' ἧς ἡμῖν ἔλαμψε, σήμερον φῶς τοῦ ἐκ σοῦ τεχθέντος, τῆς ἐκ νεκρῶν ἀναστάσεως.",black,,
135,,Καὶ νῦν...,black,,
